DESAFIO-HYPERATIVA           20240831LOTE0001000010
C392   1000000000000392
C393   1000000000000393
C394   1000000000000394
C395   1000000000000395
C396   1000000000000396
C397   1000000000000397
C398   1000000000000398
C399   1000000000000399
C400   1000000000000400
C401   1000000000000401
C402   1000000000000402
C403   1000000000000403
C404   1000000000000404
C405   1000000000000405
C406   1000000000000406
C407   1000000000000407
C408   1000000000000408
C409   1000000000000409
C410   1000000000000410
C411   1000000000000411
C412   1000000000000412
C413   1000000000000413
C414   1000000000000414
C415   1000000000000415
C416   1000000000000416
C417   1000000000000417
C418   1000000000000418
C419   1000000000000419
C420   1000000000000420
C421   1000000000000421
C422   1000000000000422
C423   1000000000000423
C424   1000000000000424
C425   1000000000000425
C426   1000000000000426
C427   1000000000000427
C428   1000000000000428
C429   1000000000000429
C430   1000000000000430
C431   1000000000000431
C432   1000000000000432
C433   1000000000000433
C434   1000000000000434
C435   1000000000000435
C436   1000000000000436
C437   1000000000000437
C438   1000000000000438
C439   1000000000000439
C440   1000000000000440
C441   1000000000000441
C442   1000000000000442
C443   1000000000000443
C444   1000000000000444
C445   1000000000000445
C446   1000000000000446
C447   1000000000000447
C448   1000000000000448
C449   1000000000000449
C450   1000000000000450
C451   1000000000000451
C452   1000000000000452
C453   1000000000000453
C454   1000000000000454
C455   1000000000000455
C456   1000000000000456
C457   1000000000000457
C458   1000000000000458
C459   1000000000000459
C460   1000000000000460
C461   1000000000000461
C462   1000000000000462
C463   1000000000000463
C464   1000000000000464
C465   1000000000000465
C466   1000000000000466
C467   1000000000000467
C468   1000000000000468
C469   1000000000000469
C470   1000000000000470
C471   1000000000000471
C472   1000000000000472
C473   1000000000000473
C474   1000000000000474
C475   1000000000000475
C476   1000000000000476
C477   1000000000000477
C478   1000000000000478
C479   1000000000000479
C480   1000000000000480
C481   1000000000000481
C482   1000000000000482
C483   1000000000000483
C484   1000000000000484
C485   1000000000000485
C486   1000000000000486
C487   1000000000000487
C488   1000000000000488
C489   1000000000000489
C490   1000000000000490
C491   1000000000000491
C492   1000000000000492
C493   1000000000000493
C494   1000000000000494
C495   1000000000000495
C496   1000000000000496
C497   1000000000000497
C498   1000000000000498
C499   1000000000000499
C500   1000000000000500
C501   1000000000000501
C502   1000000000000502
C503   1000000000000503
C504   1000000000000504
C505   1000000000000505
C506   1000000000000506
C507   1000000000000507
C508   1000000000000508
C509   1000000000000509
C510   1000000000000510
C511   1000000000000511
C512   1000000000000512
C513   1000000000000513
C514   1000000000000514
C515   1000000000000515
C516   1000000000000516
C517   1000000000000517
C518   1000000000000518
C519   1000000000000519
C520   1000000000000520
C521   1000000000000521
C522   1000000000000522
C523   1000000000000523
C524   1000000000000524
C525   1000000000000525
C526   1000000000000526
C527   1000000000000527
C528   1000000000000528
C529   1000000000000529
C530   1000000000000530
C531   1000000000000531
C532   1000000000000532
C533   1000000000000533
C534   1000000000000534
C535   1000000000000535
C536   1000000000000536
C537   1000000000000537
C538   1000000000000538
C539   1000000000000539
C540   1000000000000540
C541   1000000000000541
C542   1000000000000542
C543   1000000000000543
C544   1000000000000544
C545   1000000000000545
C546   1000000000000546
C547   1000000000000547
C548   1000000000000548
C549   1000000000000549
C550   1000000000000550
C551   1000000000000551
C552   1000000000000552
C553   1000000000000553
C554   1000000000000554
C555   1000000000000555
C556   1000000000000556
C557   1000000000000557
C558   1000000000000558
C559   1000000000000559
C560   1000000000000560
C561   1000000000000561
C562   1000000000000562
C563   1000000000000563
C564   1000000000000564
C565   1000000000000565
C566   1000000000000566
C567   1000000000000567
C568   1000000000000568
C569   1000000000000569
C570   1000000000000570
C571   1000000000000571
C572   1000000000000572
C573   1000000000000573
C574   1000000000000574
C575   1000000000000575
C576   1000000000000576
C577   1000000000000577
C578   1000000000000578
C579   1000000000000579
C580   1000000000000580
C581   1000000000000581
C582   1000000000000582
C583   1000000000000583
C584   1000000000000584
C585   1000000000000585
C586   1000000000000586
C587   1000000000000587
C588   1000000000000588
C589   1000000000000589
C590   1000000000000590
C591   1000000000000591
C592   1000000000000592
C593   1000000000000593
C594   1000000000000594
C595   1000000000000595
C596   1000000000000596
C597   1000000000000597
C598   1000000000000598
C599   1000000000000599
C600   1000000000000600
C601   1000000000000601
C602   1000000000000602
C603   1000000000000603
C604   1000000000000604
C605   1000000000000605
C606   1000000000000606
C607   1000000000000607
C608   1000000000000608
C609   1000000000000609
C610   1000000000000610
C611   1000000000000611
C612   1000000000000612
C613   1000000000000613
C614   1000000000000614
C615   1000000000000615
C616   1000000000000616
C617   1000000000000617
C618   1000000000000618
C619   1000000000000619
C620   1000000000000620
C621   1000000000000621
C622   1000000000000622
C623   1000000000000623
C624   1000000000000624
C625   1000000000000625
C626   1000000000000626
C627   1000000000000627
C628   1000000000000628
C629   1000000000000629
C630   1000000000000630
C631   1000000000000631
C632   1000000000000632
C633   1000000000000633
C634   1000000000000634
C635   1000000000000635
C636   1000000000000636
C637   1000000000000637
C638   1000000000000638
C639   1000000000000639
C640   1000000000000640
C641   1000000000000641
C642   1000000000000642
C643   1000000000000643
C644   1000000000000644
C645   1000000000000645
C646   1000000000000646
C647   1000000000000647
C648   1000000000000648
C649   1000000000000649
C650   1000000000000650
C651   1000000000000651
C652   1000000000000652
C653   1000000000000653
C654   1000000000000654
C655   1000000000000655
C656   1000000000000656
C657   1000000000000657
C658   1000000000000658
C659   1000000000000659
C660   1000000000000660
C661   1000000000000661
C662   1000000000000662
C663   1000000000000663
C664   1000000000000664
C665   1000000000000665
C666   1000000000000666
C667   1000000000000667
C668   1000000000000668
C669   1000000000000669
C670   1000000000000670
C671   1000000000000671
C672   1000000000000672
C673   1000000000000673
C674   1000000000000674
C675   1000000000000675
C676   1000000000000676
C677   1000000000000677
C678   1000000000000678
C679   1000000000000679
C680   1000000000000680
C681   1000000000000681
C682   1000000000000682
C683   1000000000000683
C684   1000000000000684
C685   1000000000000685
C686   1000000000000686
C687   1000000000000687
C688   1000000000000688
C689   1000000000000689
C690   1000000000000690
C691   1000000000000691
C692   1000000000000692
C693   1000000000000693
C694   1000000000000694
C695   1000000000000695
C696   1000000000000696
C697   1000000000000697
C698   1000000000000698
C699   1000000000000699
C700   1000000000000700
C701   1000000000000701
C702   1000000000000702
C703   1000000000000703
C704   1000000000000704
C705   1000000000000705
C706   1000000000000706
C707   1000000000000707
C708   1000000000000708
C709   1000000000000709
C710   1000000000000710
C711   1000000000000711
C712   1000000000000712
C713   1000000000000713
C714   1000000000000714
C715   1000000000000715
C716   1000000000000716
C717   1000000000000717
C718   1000000000000718
C719   1000000000000719
C720   1000000000000720
C721   1000000000000721
C722   1000000000000722
C723   1000000000000723
C724   1000000000000724
C725   1000000000000725
C726   1000000000000726
C727   1000000000000727
C728   1000000000000728
C729   1000000000000729
C730   1000000000000730
C731   1000000000000731
C732   1000000000000732
C733   1000000000000733
C734   1000000000000734
C735   1000000000000735
C736   1000000000000736
C737   1000000000000737
C738   1000000000000738
C739   1000000000000739
C740   1000000000000740
C741   1000000000000741
C742   1000000000000742
C743   1000000000000743
C744   1000000000000744
C745   1000000000000745
C746   1000000000000746
C747   1000000000000747
C748   1000000000000748
C749   1000000000000749
C750   1000000000000750
C751   1000000000000751
C752   1000000000000752
C753   1000000000000753
C754   1000000000000754
C755   1000000000000755
C756   1000000000000756
C757   1000000000000757
C758   1000000000000758
C759   1000000000000759
C760   1000000000000760
C761   1000000000000761
C762   1000000000000762
C763   1000000000000763
C764   1000000000000764
C765   1000000000000765
C766   1000000000000766
C767   1000000000000767
C768   1000000000000768
C769   1000000000000769
C770   1000000000000770
C771   1000000000000771
C772   1000000000000772
C773   1000000000000773
C774   1000000000000774
C775   1000000000000775
C776   1000000000000776
C777   1000000000000777
C778   1000000000000778
C779   1000000000000779
C780   1000000000000780
C781   1000000000000781
C782   1000000000000782
C783   1000000000000783
C784   1000000000000784
C785   1000000000000785
C786   1000000000000786
C787   1000000000000787
C788   1000000000000788
C789   1000000000000789
C790   1000000000000790
C791   1000000000000791
C792   1000000000000792
C793   1000000000000793
C794   1000000000000794
C795   1000000000000795
C796   1000000000000796
C797   1000000000000797
C798   1000000000000798
C799   1000000000000799
C800   1000000000000800
C801   1000000000000801
C802   1000000000000802
C803   1000000000000803
C804   1000000000000804
C805   1000000000000805
C806   1000000000000806
C807   1000000000000807
C808   1000000000000808
C809   1000000000000809
C810   1000000000000810
C811   1000000000000811
C812   1000000000000812
C813   1000000000000813
C814   1000000000000814
C815   1000000000000815
C816   1000000000000816
C817   1000000000000817
C818   1000000000000818
C819   1000000000000819
C820   1000000000000820
C821   1000000000000821
C822   1000000000000822
C823   1000000000000823
C824   1000000000000824
C825   1000000000000825
C826   1000000000000826
C827   1000000000000827
C828   1000000000000828
C829   1000000000000829
C830   1000000000000830
C831   1000000000000831
C832   1000000000000832
C833   1000000000000833
C834   1000000000000834
C835   1000000000000835
C836   1000000000000836
C837   1000000000000837
C838   1000000000000838
C839   1000000000000839
C840   1000000000000840
C841   1000000000000841
C842   1000000000000842
C843   1000000000000843
C844   1000000000000844
C845   1000000000000845
C846   1000000000000846
C847   1000000000000847
C848   1000000000000848
C849   1000000000000849
C850   1000000000000850
C851   1000000000000851
C852   1000000000000852
C853   1000000000000853
C854   1000000000000854
C855   1000000000000855
C856   1000000000000856
C857   1000000000000857
C858   1000000000000858
C859   1000000000000859
C860   1000000000000860
C861   1000000000000861
C862   1000000000000862
C863   1000000000000863
C864   1000000000000864
C865   1000000000000865
C866   1000000000000866
C867   1000000000000867
C868   1000000000000868
C869   1000000000000869
C870   1000000000000870
C871   1000000000000871
C872   1000000000000872
C873   1000000000000873
C874   1000000000000874
C875   1000000000000875
C876   1000000000000876
C877   1000000000000877
C878   1000000000000878
C879   1000000000000879
C880   1000000000000880
C881   1000000000000881
C882   1000000000000882
C883   1000000000000883
C884   1000000000000884
C885   1000000000000885
C886   1000000000000886
C887   1000000000000887
C888   1000000000000888
C889   1000000000000889
C890   1000000000000890
C891   1000000000000891
C892   1000000000000892
C893   1000000000000893
C894   1000000000000894
C895   1000000000000895
C896   1000000000000896
C897   1000000000000897
C898   1000000000000898
C899   1000000000000899
C900   1000000000000900
C901   1000000000000901
C902   1000000000000902
C903   1000000000000903
C904   1000000000000904
C905   1000000000000905
C906   1000000000000906
C907   1000000000000907
C908   1000000000000908
C909   1000000000000909
C910   1000000000000910
C911   1000000000000911
C912   1000000000000912
C913   1000000000000913
C914   1000000000000914
C915   1000000000000915
C916   1000000000000916
C917   1000000000000917
C918   1000000000000918
C919   1000000000000919
C920   1000000000000920
C921   1000000000000921
C922   1000000000000922
C923   1000000000000923
C924   1000000000000924
C925   1000000000000925
C926   1000000000000926
C927   1000000000000927
C928   1000000000000928
C929   1000000000000929
C930   1000000000000930
C931   1000000000000931
C932   1000000000000932
C933   1000000000000933
C934   1000000000000934
C935   1000000000000935
C936   1000000000000936
C937   1000000000000937
C938   1000000000000938
C939   1000000000000939
C940   1000000000000940
C941   1000000000000941
C942   1000000000000942
C943   1000000000000943
C944   1000000000000944
C945   1000000000000945
C946   1000000000000946
C947   1000000000000947
C948   1000000000000948
C949   1000000000000949
C950   1000000000000950
C951   1000000000000951
C952   1000000000000952
C953   1000000000000953
C954   1000000000000954
C955   1000000000000955
C956   1000000000000956
C957   1000000000000957
C958   1000000000000958
C959   1000000000000959
C960   1000000000000960
C961   1000000000000961
C962   1000000000000962
C963   1000000000000963
C964   1000000000000964
C965   1000000000000965
C966   1000000000000966
C967   1000000000000967
C968   1000000000000968
C969   1000000000000969
C970   1000000000000970
C971   1000000000000971
C972   1000000000000972
C973   1000000000000973
C974   1000000000000974
C975   1000000000000975
C976   1000000000000976
C977   1000000000000977
C978   1000000000000978
C979   1000000000000979
C980   1000000000000980
C981   1000000000000981
C982   1000000000000982
C983   1000000000000983
C984   1000000000000984
C985   1000000000000985
C986   1000000000000986
C987   1000000000000987
C988   1000000000000988
C989   1000000000000989
C990   1000000000000990
C991   1000000000000991
C992   1000000000000992
C993   1000000000000993
C994   1000000000000994
C995   1000000000000995
C996   1000000000000996
C997   1000000000000997
C998   1000000000000998
C999   1000000000000999
C1000  1000000000001000
C1001  1000000000001001
C1002  1000000000001002
C1003  1000000000001003
C1004  1000000000001004
C1005  1000000000001005
C1006  1000000000001006
C1007  1000000000001007
C1008  1000000000001008
C1009  1000000000001009
C1010  1000000000001010
C1011  1000000000001011
C1012  1000000000001012
C1013  1000000000001013
C1014  1000000000001014
C1015  1000000000001015
C1016  1000000000001016
C1017  1000000000001017
C1018  1000000000001018
C1019  1000000000001019
C1020  1000000000001020
C1021  1000000000001021
C1022  1000000000001022
C1023  1000000000001023
C1024  1000000000001024
C1025  1000000000001025
C1026  1000000000001026
C1027  1000000000001027
C1028  1000000000001028
C1029  1000000000001029
C1030  1000000000001030
C1031  1000000000001031
C1032  1000000000001032
C1033  1000000000001033
C1034  1000000000001034
C1035  1000000000001035
C1036  1000000000001036
C1037  1000000000001037
C1038  1000000000001038
C1039  1000000000001039
C1040  1000000000001040
C1041  1000000000001041
C1042  1000000000001042
C1043  1000000000001043
C1044  1000000000001044
C1045  1000000000001045
C1046  1000000000001046
C1047  1000000000001047
C1048  1000000000001048
C1049  1000000000001049
C1050  1000000000001050
C1051  1000000000001051
C1052  1000000000001052
C1053  1000000000001053
C1054  1000000000001054
C1055  1000000000001055
C1056  1000000000001056
C1057  1000000000001057
C1058  1000000000001058
C1059  1000000000001059
C1060  1000000000001060
C1061  1000000000001061
C1062  1000000000001062
C1063  1000000000001063
C1064  1000000000001064
C1065  1000000000001065
C1066  1000000000001066
C1067  1000000000001067
C1068  1000000000001068
C1069  1000000000001069
C1070  1000000000001070
C1071  1000000000001071
C1072  1000000000001072
C1073  1000000000001073
C1074  1000000000001074
C1075  1000000000001075
C1076  1000000000001076
C1077  1000000000001077
C1078  1000000000001078
C1079  1000000000001079
C1080  1000000000001080
C1081  1000000000001081
C1082  1000000000001082
C1083  1000000000001083
C1084  1000000000001084
C1085  1000000000001085
C1086  1000000000001086
C1087  1000000000001087
C1088  1000000000001088
C1089  1000000000001089
C1090  1000000000001090
C1091  1000000000001091
C1092  1000000000001092
C1093  1000000000001093
C1094  1000000000001094
C1095  1000000000001095
C1096  1000000000001096
C1097  1000000000001097
C1098  1000000000001098
C1099  1000000000001099
C1100  1000000000001100
C1101  1000000000001101
C1102  1000000000001102
C1103  1000000000001103
C1104  1000000000001104
C1105  1000000000001105
C1106  1000000000001106
C1107  1000000000001107
C1108  1000000000001108
C1109  1000000000001109
C1110  1000000000001110
C1111  1000000000001111
C1112  1000000000001112
C1113  1000000000001113
C1114  1000000000001114
C1115  1000000000001115
C1116  1000000000001116
C1117  1000000000001117
C1118  1000000000001118
C1119  1000000000001119
C1120  1000000000001120
C1121  1000000000001121
C1122  1000000000001122
C1123  1000000000001123
C1124  1000000000001124
C1125  1000000000001125
C1126  1000000000001126
C1127  1000000000001127
C1128  1000000000001128
C1129  1000000000001129
C1130  1000000000001130
C1131  1000000000001131
C1132  1000000000001132
C1133  1000000000001133
C1134  1000000000001134
C1135  1000000000001135
C1136  1000000000001136
C1137  1000000000001137
C1138  1000000000001138
C1139  1000000000001139
C1140  1000000000001140
C1141  1000000000001141
C1142  1000000000001142
C1143  1000000000001143
C1144  1000000000001144
C1145  1000000000001145
C1146  1000000000001146
C1147  1000000000001147
C1148  1000000000001148
C1149  1000000000001149
C1150  1000000000001150
C1151  1000000000001151
C1152  1000000000001152
C1153  1000000000001153
C1154  1000000000001154
C1155  1000000000001155
C1156  1000000000001156
C1157  1000000000001157
C1158  1000000000001158
C1159  1000000000001159
C1160  1000000000001160
C1161  1000000000001161
C1162  1000000000001162
C1163  1000000000001163
C1164  1000000000001164
C1165  1000000000001165
C1166  1000000000001166
C1167  1000000000001167
C1168  1000000000001168
C1169  1000000000001169
C1170  1000000000001170
C1171  1000000000001171
C1172  1000000000001172
C1173  1000000000001173
C1174  1000000000001174
C1175  1000000000001175
C1176  1000000000001176
C1177  1000000000001177
C1178  1000000000001178
C1179  1000000000001179
C1180  1000000000001180
C1181  1000000000001181
C1182  1000000000001182
C1183  1000000000001183
C1184  1000000000001184
C1185  1000000000001185
C1186  1000000000001186
C1187  1000000000001187
C1188  1000000000001188
C1189  1000000000001189
C1190  1000000000001190
C1191  1000000000001191
C1192  1000000000001192
C1193  1000000000001193
C1194  1000000000001194
C1195  1000000000001195
C1196  1000000000001196
C1197  1000000000001197
C1198  1000000000001198
C1199  1000000000001199
C1200  1000000000001200
C1201  1000000000001201
C1202  1000000000001202
C1203  1000000000001203
C1204  1000000000001204
C1205  1000000000001205
C1206  1000000000001206
C1207  1000000000001207
C1208  1000000000001208
C1209  1000000000001209
C1210  1000000000001210
C1211  1000000000001211
C1212  1000000000001212
C1213  1000000000001213
C1214  1000000000001214
C1215  1000000000001215
C1216  1000000000001216
C1217  1000000000001217
C1218  1000000000001218
C1219  1000000000001219
C1220  1000000000001220
C1221  1000000000001221
C1222  1000000000001222
C1223  1000000000001223
C1224  1000000000001224
C1225  1000000000001225
C1226  1000000000001226
C1227  1000000000001227
C1228  1000000000001228
C1229  1000000000001229
C1230  1000000000001230
C1231  1000000000001231
C1232  1000000000001232
C1233  1000000000001233
C1234  1000000000001234
C1235  1000000000001235
C1236  1000000000001236
C1237  1000000000001237
C1238  1000000000001238
C1239  1000000000001239
C1240  1000000000001240
C1241  1000000000001241
C1242  1000000000001242
C1243  1000000000001243
C1244  1000000000001244
C1245  1000000000001245
C1246  1000000000001246
C1247  1000000000001247
C1248  1000000000001248
C1249  1000000000001249
C1250  1000000000001250
C1251  1000000000001251
C1252  1000000000001252
C1253  1000000000001253
C1254  1000000000001254
C1255  1000000000001255
C1256  1000000000001256
C1257  1000000000001257
C1258  1000000000001258
C1259  1000000000001259
C1260  1000000000001260
C1261  1000000000001261
C1262  1000000000001262
C1263  1000000000001263
C1264  1000000000001264
C1265  1000000000001265
C1266  1000000000001266
C1267  1000000000001267
C1268  1000000000001268
C1269  1000000000001269
C1270  1000000000001270
C1271  1000000000001271
C1272  1000000000001272
C1273  1000000000001273
C1274  1000000000001274
C1275  1000000000001275
C1276  1000000000001276
C1277  1000000000001277
C1278  1000000000001278
C1279  1000000000001279
C1280  1000000000001280
C1281  1000000000001281
C1282  1000000000001282
C1283  1000000000001283
C1284  1000000000001284
C1285  1000000000001285
C1286  1000000000001286
C1287  1000000000001287
C1288  1000000000001288
C1289  1000000000001289
C1290  1000000000001290
C1291  1000000000001291
C1292  1000000000001292
C1293  1000000000001293
C1294  1000000000001294
C1295  1000000000001295
C1296  1000000000001296
C1297  1000000000001297
C1298  1000000000001298
C1299  1000000000001299
C1300  1000000000001300
C1301  1000000000001301
C1302  1000000000001302
